year_month,btc_volume_change,eth_volume_change,doge_volume_change
2013-04,,,
2013-05,,,
2013-06,,,
2013-07,,,
2013-08,,,
2013-09,,,
2013-10,,,
2013-11,,,
2013-12,inf,,
2014-01,723.9369474400078,3953.7560757371084,
2014-02,10.083334009024725,23.83381186308915,
2014-03,-39.829284918644866,-40.97245041062975,
2014-04,3.3148677114856806,-14.865576874489205,
2014-05,-36.23509403972154,-54.34416967084963,
2014-06,43.428261644020424,-16.889674438698144,
2014-07,-37.56164085061206,-42.2064547071766,
2014-08,54.090262204899545,-19.838730752319332,
2014-09,0.2948290563519196,454.88785291094416,
2014-10,29.634015657961644,-57.03549097911402,
2014-11,-26.939378198836106,69.54476091157711,
2014-12,-16.162749447746585,-57.027140511336874,
2015-01,98.66341039146988,-12.071930156585175,
2015-02,-35.24654290424183,-76.93117833690411,
2015-03,34.79593719743417,-11.418255479829353,
2015-04,-29.89887480772304,-37.8780670103253,
2015-05,-15.500535667514004,400.1591637969863,
2015-06,10.85286872939044,50.66352610518881,
2015-07,58.76844016372695,-25.75266642493348,
2015-08,-9.471010974983107,-67.34549467927391,
2015-09,-33.31539607661267,-31.102690121786836,-50.45956691048612
2015-10,57.92606952773076,4.353888853388388,-0.527367197514339
2015-11,128.43493393070972,100.80012689356153,31.154469206080048
2015-12,-3.7367983899085577,47.31667938166579,-44.4503174318256
2016-01,-5.026580608228981,303.6970430160243,588.706282652593
2016-02,-5.7583377448491735,-64.32605809416157,252.4069313349728
2016-03,24.33667347054156,-13.42760937324109,160.13700089962884
2016-04,-22.349356005824518,-40.24129584982872,-44.76748258085366
2016-05,23.348792799705365,-4.231600216356057,72.07337770304034
2016-06,112.56861018611724,182.58089892203918,36.12237993274019
2016-07,-27.275739281317634,-34.33717188118821,-27.792901981858808
2016-08,-22.23290751120144,17.633914482893086,-40.44781432343303
2016-09,-25.38208837370881,-34.22284527368059,-31.444797152937554
2016-10,5.539928080273748,-35.98730782387225,-10.31369983585957
2016-11,24.59669677747374,-0.32004829101819343,-15.466959052894946
2016-12,34.94195728742191,26.621655712375535,47.24429307973941
2017-01,44.62505753123105,13.43170747215192,34.450223895385435
2017-02,-16.74213124732724,-42.40822703561678,-10.461308866678444
2017-03,153.86556598112452,451.63664167617725,825.7530017760681
2017-04,-10.255344809876787,304.22461242539214,-27.064554274609865
2017-05,251.13542465948396,1103.0573499545021,365.39210500158845
2017-06,29.818243957275325,-22.015235171631943,134.4067256360039
2017-07,-26.660700489248647,-69.21614292676543,-9.81198045911793
2017-08,94.81330602485178,-20.964774609882753,6.969982649293316
2017-09,-12.348249400848655,68.24527424843063,-26.770721083762783
2017-10,4.144290061699296,-59.10688010186228,-44.7669139678466
2017-11,142.60742623707637,45.31916347830918,137.61106911967013
2017-12,191.56674960810184,906.2313438138256,150.31414433557129
2018-01,1.4406135312194923,42.47119461374811,104.86546009974957
2018-02,-44.812261260244235,-73.48003808256114,-49.02919817282558
2018-03,-15.656633640133633,-52.08148670798565,-35.587045165707565
2018-04,1.4442718734122506,102.36068937850962,12.945334396177444
2018-05,0.5401673948677743,4.513595539434623,34.75000802216339
2018-06,-34.10604068740783,-58.847139218171606,-32.62909168584179
2018-07,8.622532694879869,19.43563170859108,-4.869915393605151
2018-08,-6.468498526995936,-9.104467988240561,-6.3404138096660905
2018-09,-1.9255776411666314,361.0171151998613,12.492898369865113
2018-10,-8.715910247895554,-65.93432093487121,-19.462570676606063
2018-11,33.707950162182755,-2.610718843738702,33.54782115824144
2018-12,6.6098231996899015,47.52738037884961,21.818550955242365
2019-01,-0.8832141171944641,-17.227167090343233,17.593111930719417
2019-02,18.98277978486773,-2.2616847276413554,19.253453756055006
2019-03,49.649311518979445,12.557910663259154,36.9227650678345
2019-04,49.47487363108851,148.8922400347641,47.28808771343347
2019-05,62.59890014513838,19.709054111158174,53.67321201806314
2019-06,-6.670159606229664,9.927360626376359,-13.9206306832248
2019-07,0.08299728635954295,-36.89168016702698,-7.733603534219579
2019-08,-21.056758884699544,-40.454836339707434,-18.53367759800768
2019-09,-10.007773875964643,67.27311975975859,9.839715788621529
2019-10,23.860446012493043,71.68063309081099,12.656323954556626
2019-11,13.728777548021531,31.57152402656307,0.4630675433574094
2019-12,-6.371385183331546,-16.48166382903361,-2.2652122835601363
2020-01,34.566918379274505,20.445533312205,32.72085276518168
2020-02,36.406899833327145,66.15624603684762,76.2603727218504
2020-03,10.922136356182355,5.465159438082323,-13.695225133811606
2020-04,-10.408440565894939,19.774280034996416,6.66186199718608
2020-05,11.265281245935753,34.667499852714954,-4.992039847910156
2020-06,-49.39914184149511,-27.792176247343892,-50.113909679017546
2020-07,-16.146540031773537,-11.121174010580804,-0.31273289203543886
2020-08,29.783763307979207,-54.691127211771814,48.7968419286189
2020-09,51.889360960449025,40.3047964733952,38.55193628232034
2020-10,-2.3304898397764284,-9.699700261260013,-19.60149025231622
2020-11,4.022398991438503,-23.79918954752419,16.97116464159507
2020-12,10.896523715801454,75.82739572926987,-3.446934320030026
2021-01,77.64126114721235,1784.3126881241108,151.05396724807588
2021-02,5.278890434784733,94.6382510668362,-14.718997884959483
2021-03,-25.846014289972175,-71.24947859897654,-27.47651766897673
2021-04,9.713242692066505,807.1266350595143,36.19188903250014
2021-05,7.162535739431397,18.113085844468223,51.74097088215295
2021-06,-39.81324492474927,-75.86231687658362,-46.13606084470939
2021-07,-84.94520267574657,-91.79953334668383,-83.02764399410695
